po;maxmin;minmin;pf;volume;capital;negotiation;mme13;me;mb;diff;cible
4219;4219;4218;4218,5;885;37333415;239;4219,4;4221,9;4219,7;2,661;4217
4216;4216,5;4215;4216;2014;84904035;434;4214,6;4215,2;4213,5;2,725;4216,5
4216,5;4217;4215;4216;3481;146761895;774;4215,5;4216,3;4214,3;0,623;4216
4217,5;4219;4216,5;4216,5;5207;219614435;1359;4215,4;4216,1;4214,1;0,631;4215,5
4215;4216,5;4215;4216;1364;57504915;315;4214,6;4215,2;4213,2;0,627;4215
4216;4216,5;4215;4215,5;1605;67659225;285;4214,7;4215,4;4213,4;0,621;4214,5
4215,5;4216;4215;4215;946;39879020;241;4214,2;4215;4213;0,653;4214
4215,5;4216;4214;4214;2472;104184620;482;4214,2;4215;4213,1;0,636;4213,5
4214;4216;4214;4215;3108;130992885;585;4214,3;4215,1;4213,1;0,628;4213
4213;4213;4212,5;4212,5;859;36189505;174;4212,5;4212,9;4211,8;-1,525;4212,5
4212;4213;4211,5;4213;466;19629905;140;4212,4;4213;4211,8;-1,566;4212
4209;4210;4208,5;4210;2116;89074635;550;4211,1;4212,2;4210,8;-2,181;4211,5
4213;4213;4209,5;4210;6126;257947100;1529;4212,1;4212,9;4211,7;-1,695;4211
4211,5;4213;4211;4212;3082;129820835;746;4211,1;4211,9;4210,3;-1,969;4210,5
4211,5;4212;4211;4211;943;39715030;236;4211;4211,8;4210,3;-2,095;4210
4213;4213,5;4213;4213;553;23299320;177;4213;4213,5;4212;-1,678;4209,5
4213,5;4213,5;4212;4212,5;615;25907985;133;4212,9;4213,5;4212,1;-1,683;4209
4210;4211,5;4210;4211;2066;86999060;447;4211,6;4212,7;4211,1;-1,262;4206
4211;4211,5;4209,5;4210,5;2217;93343710;420;4211,3;4212,7;4211,1;-1,374;4205,5
4210,5;4211,5;4210,5;4211;812;34192715;205;4211,3;4212,6;4211;-1,371;4205
4210;4211;4209;4210;1424;59951330;335;4210,3;4211,3;4209,7;-1,66;4204,5
4210,5;4211,5;4210;4210,5;1379;58064015;277;4211,5;4212,7;4211,1;-1,324;4204
4209,5;4210;4207,5;4208,5;4328;182145690;1025;4210,1;4211,1;4209,4;-1,781;4200
4205,5;4206;4205;4205,5;1308;55010690;185;4206,5;4208,1;4206,2;-3,51;4199,5
4206;4206,5;4205;4205,5;1228;51645260;271;4206,7;4208,5;4206,5;-3,46;4199
4205,5;4206;4205,5;4206;325;13669255;86;4206,3;4207,3;4205,5;-3,455;4198,5
4205;4206;4204,5;4204,5;2021;84989495;438;4207,2;4209,5;4207,5;-3,289;4198
4200;4200,5;4196;4196,5;5927;248787485;1363;4203,4;4205,4;4202,9;-4,937;4197,5
4205,5;4206;4205;4205;1379;57993000;339;4207,7;4209,9;4207,9;-3,06;4197
4206;4207;4202,5;4203,5;11760;494487305;2456;4208,6;4210,6;4208,7;-2,56;4196,5
4204;4206;4203;4205;5230;219886020;1258;4208,1;4210,2;4208,2;-2,833;4196
4198;4199,5;4197;4199,5;3439;144378515;728;4200;4202,2;4199,6;-2,153;4195,5
4198;4199;4197,5;4198;1433;60162680;233;4198,8;4198,9;4197;-6,219;4195
4197,5;4198,5;4197,5;4198;568;23844580;106;4197,3;4198;4196,7;-2,153;4194,5
4197;4198,5;4197;4198;924;38788895;253;4200,1;4202,7;4200,2;-6,46;4194
4198,5;4199;4198;4198;1238;51977430;209;4199,2;4199,9;4197,2;-6,345;4193,5
4198;4199;4198;4198,5;1425;59832580;298;4199,5;4200,8;4198,2;-6,41;4193
4190,5;4191;4189,5;4189,5;2336;97881930;663;4188,1;4188,1;4186;-2,366;4192,5
4184;4185;4184;4185;1706;71388875;524;4184,1;4184,4;4182;-6,105;4192
4184;4184,5;4183;4184;3743;156598165;1020;4183,9;4184,5;4182,1;-6,322;4191,5
4183,5;4183,5;4182;4182,5;1515;63366900;412;4184,9;4186,2;4183,6;-6,546;4191
4182,5;4183,5;4181,5;4183;4340;181508790;1205;4185,3;4186,7;4184,1;-6,4;4190,5
4197;4197,5;4196,5;4197;62;2602080;24;4196,3;4197,2;4195,9;-0,487;4190
4195,5;4196,5;4194,5;4196;555;23283960;103;4196,2;4197,5;4196,2;-0,599;4189,5
4182;4182,5;4178,5;4179,5;11191;467808880;3665;4184,1;4185,7;4183,2;-6,903;4189
4185;4186;4184;4184,5;5086;212855030;1773;4183,9;4184,7;4182,1;6,452;4188,5
4199;4202;4197;4197;7306;306818675;2425;4196,8;4197,6;4195,6;-0,171;4187,5
4197;4200;4196,5;4199,5;3302;138626155;1138;4197,2;4197,8;4195,6;0,064;4187
4197,5;4202,5;4196;4198,5;3067;128761965;1121;4196,8;4197,4;4195,7;-0,2;4186
4199;4199,5;4197;4197,5;3091;129768350;910;4197,2;4197,9;4195,7;0,1;4185,5
4200;4203,5;4199,5;4200;8084;339636475;2574;4197,9;4198,7;4196,2;0,532;4185
4197,5;4198,5;4196,5;4197,5;567;23799610;100;4196,5;4197,2;4195,8;-0,379;4184,5
4196;4196,5;4193;4194;8530;357780865;2770;4197,4;4199,3;4196,5;0,237;4184
4189,5;4190,5;4189,5;4190;1868;78271720;667;4194,7;4198,4;4195,2;-1,387;4183,5
4186;4187,5;4184;4187,5;5903;247101230;1732;4191,6;4196,1;4192,8;-3,21;4183
4200;4200,5;4196;4196,5;5810;243893455;1898;4198;4199,3;4196,6;0,57;4182,5
4190;4190;4184,5;4185;13180;551861645;4111;4193,3;4197,9;4194,4;-2,201;4182
4184,5;4187,5;4184;4186;9050;378800750;2671;4192,2;4197,1;4193,6;-2,814;4179,5
4179,5;4180;4179;4180;1400;58512120;357;4180,2;4180,7;4178,9;-4,291;4179
4181,5;4182,5;4180,5;4182;3143;131425770;773;4184,5;4186,8;4184,4;-3,988;4178,5
4185;4186,5;4184,5;4186;5870;245700320;1481;4187,5;4189,6;4187,4;-2,329;4178
4182,5;4182,5;4181;4181,5;4512;188678340;1399;4185,4;4188;4185,6;-3,518;4177
